,Name,Lat,Lon,Price
0,Kallang Place,1.317646,103.8662984,3709
1,East Coast Road,1.3083508,103.9090106,4000
2,East Coast Road,1.3083508,103.9090106,4000
3,Eng Kong Park,1.2809705999999998,103.84689714882103,4200
4,Jurong West Street 41,1.3465703,103.725619,5000
5,Norris Road,1.3079395,103.8541332,5999
6,Geylang Road,1.3156197,103.8948223,5200
7,Geylang Road,1.3156197,103.8948223,6800
8,Jln Pemimpin,1.3485386,103.8418216,5338
9,Veerasamy Road,1.3077444,103.8530048,7000
10,Norris Road,1.3079395,103.8541332,6500
11,Serangoon Road,1.3063655,103.8516888,7250
12,Lorong 36 Geylang,1.3123438,103.8886164,5500
13,Blair Road,1.2761428,103.835368,7500
14,Geylang,1.3181862,103.8870563,6188
15,Hamilton Road,1.3118807,103.8617263,6800
16,Club Street,1.2829106,103.8473279,8000
17,Kampong Bahru Road,1.27641,103.8356005,8500
18,Telok Kurau Road,1.3084517,103.9125562,7500
19,Boat Quay,1.2859386,103.8521496,7500
20,Jurong East Street 24,1.3421991,103.7414422,7000
21,Aliwal Street,1.3017236,103.8614361,7300
22,Ang Mo Kio Avenue 10,1.3746987,103.8548353,8500
23,Ang Mo Kio Avenue 10,1.3746987,103.8548353,8500
24,Balestier Road,1.3241119,103.8515561,7688
25,Clementi Avenue 2,1.3161184,103.7702322,7800
26,Lavender Street,1.3099427,103.8634161,8500
27,Lavender Street,1.3099427,103.8634161,8500
28,Lavender Street,1.3099427,103.8634161,8500
29,Lavender Street,1.3099427,103.8634161,8500
30,Kovan,1.3601757,103.88511197287917,8000
31,Tanjong Pagar Road,1.2776931,103.8435781,7650
32,Yio Chu Kang Road,1.3818572,103.8354903,9500
33,Serangoon Road,1.3063655,103.8516888,10300
34,Tras Street,1.274845,103.8438859,9800
35,Tras Street,1.274845,103.8438859,9800
36,Farrer Park,1.3124742500000002,103.8541424322319,8300
37,Changi Road,1.3165088,103.8994174,7800
38,Sago Street,1.2818506,103.8439839,9800
39,Tanjong Pagar Road,1.2776931,103.8435781,10000
40,90 owen road,1.3133426,103.8533427,8500
41,East Coast Road,1.3083508,103.9090106,8000
42,Tras Street,1.274845,103.8438859,8600
43,Tanjong Pagar,1.27660565,103.84577931609854,8600
44,Jurong East Avenue 1,1.3414071,103.7420766,9700
45,Bishan Green,1.34484965,103.85299844325117,8500
46,Tras Street,1.274845,103.8438859,9800
47,Jalan Besar,1.3116733,103.8594148,10000
48,Tai Thong Crescent,1.3293584,103.8688971,9000
49,Tanjong Pagar Road,1.2776931,103.8435781,8600
50,Tras Street,1.274845,103.8438859,8600
51,Little India,1.30684265,103.84927355170905,11500
52,Boat Quay,1.2859386,103.8521496,9000
53,Boat Quay,1.2859386,103.8521496,9000
54,Geylang Road,1.3156197,103.8948223,9000
55,Little India,1.30684265,103.84927355170905,12000
56,South Bridge Road,1.2837333,103.8461584,9000
57,Mustafa Centre,1.3101174,103.8553229,10888
58,Tanjong Katong Road,1.307163,103.8955201,9800
59,Tanjong Katong Road,1.307163,103.8955201,9800
60,Boat Quay,1.2859386,103.8521496,10000
61,Sims Avenue,1.3175486,103.8965732,9500
62,Amoy Street,1.2812465,103.8472783,11800
63,Telok Ayer,1.28236715,103.84826400565862,11815
64,Pekin Street,1.283469,103.8486796,12031
65,Tras Street,1.274845,103.8438859,13000
66,Amoy Street,1.2812465,103.8472783,11823
67,Amoy Street,1.2812465,103.8472783,11823
68,Amoy Street,1.2812465,103.8472783,11824
69,Telok Ayer,1.28236715,103.84826400565862,11815
70,Tras Street,1.274845,103.8438859,10500
71,Neil Road,1.2786333,103.8415088,11000
72,Bukit Pasoh Road,1.2795947,103.8405306,11000
73,Bukit Pasoh,1.2784221,103.8409864,11000
74,Hongkong Street,1.2879191,103.8466907,13600
75,Rochester Drive,1.3070378,103.7892899,11400
76,Clementi Avenue 3,1.312294,103.7660294,13000
77,Purvis Street,1.2961643,103.8556068,12000
78,Lavender Street,1.3099427,103.8634161,11500
79,Lavender Street,1.3099427,103.8634161,11505
80,Tanjong Pagar,1.27660565,103.84577931609854,14500
81,Jalan Besar,1.3116733,103.8594148,12000
82,Lavender Street,1.3099427,103.8634161,11888
83,East Coast Road,1.3083508,103.9090106,14000
84,Craig Road,1.2779521,103.842269,13800
85,Jalan kayu,1.3936832,103.8726916,15000
86,Bukit Merah View,1.28350915,103.82332492999029,15800
87,Changi Road,1.3165088,103.8994174,12000
88,Sims Avenue,1.3175486,103.8965732,16000
89,Tras Street,1.274845,103.8438859,13000
90,Tanjong Pagar Road,1.2776931,103.8435781,13000
91,Tanjong Pagar,1.27660565,103.84577931609854,13000
92,Queen Street,1.2987444,103.8528466,16000
93,North Bridge Road,1.3046683,103.8630352,13000
94,Mosque Street,1.283202,103.8458432,15000
95,North Bridge Road,1.3046683,103.8630352,15000
96,UE Bizhub East,1.33533985,103.96391052975918,15999
97,Race Course Road,1.3067797,103.8497068,13800
98,Jurong East Street 31,1.3463053,103.7315996,17000
99,Syed Alwi Road,1.3093973,103.8558436,18000
100,Ang Mo Kio Avenue 6,1.3841024,103.843847,16800
101,Telok Ayer,1.28236715,103.84826400565862,16000
102,Serangoon Road,1.3063655,103.8516888,17000
103,Malacca Street,1.2837196,103.8512394,18000
104,Purvis Street,1.2961643,103.8556068,18000
105,Pagoda Street,1.2832478,103.8446227,18000
106,Tras Street,1.274845,103.8438859,18000
107,North Bridge Road,1.3046683,103.8630352,20000
108,Ang Mo Kio Central 2,1.3747075,103.8462455,20000
109,Tiong Bahru Orchid,1.2796514499999998,103.82495705330518,18000
110,Tanjong Pagar,1.27660565,103.84577931609854,20000
111,Duxton Road,1.2778472,103.843013,20000
112,Duxton Road,1.2778472,103.843013,20000
113,Race Course Road,1.3067797,103.8497068,15800
114,MARINE PARADE CENTRAL,1.302213,103.9076071,18680
115,Craig Road,1.2779521,103.842269,16000
116,Orchard Road,1.3056286,103.8308001,20119
117,Telok Ayer Street,1.2832965,103.8491752,22000
118,Amoy Street,1.2812465,103.8472783,18785
119,Mosque Street,1.283202,103.8458432,20000
120,Mosque Street,1.283202,103.8458432,20000
121,Mosque Street,1.283202,103.8458432,20000
122,Mosque Street,1.283202,103.8458432,20000
123,Mosque Street,1.283202,103.8458432,20000
124,Mosque Street,1.283202,103.8458432,20000
125,Mosque Street,1.283202,103.8458432,20000
126,Jurong Gateway,1.332281,103.74072453633545,20000
127,Jurong West Street 51,1.3454117,103.721694,18000
128,Raffles Quay,1.2808902,103.8511464,24000
129,Jurong West Street 51,1.3454117,103.721694,18000
130,Telok Ayer Street,1.2832965,103.8491752,19248
131,Craig Road,1.2779521,103.842269,18499
132,Jurong Gateway,1.332281,103.74072453633545,20000
133,South Bridge Road,1.2837333,103.8461584,25898
134,Holland Village,1.31172195,103.79607968658257,25000
135,Holland Village,1.31172195,103.79607968658257,25000
