,PA,Lat,Lon,Pop
0,ANG MO KIO,1.3700803,103.8495228,10100.0
1,BEDOK,1.3239765,103.930216,42830.0
2,BISHAN,1.3509859,103.84825507492937,10180.0
3,BUKIT BATOK,1.3490572,103.7495906,13590.0
4,BUKIT MERAH,1.2837356,103.8200999,12210.0
5,BUKIT PANJANG,1.3779175,103.7630947,8570.0
6,BUKIT TIMAH,1.3546901,103.7763724,29250.0
7,CHANGI,1.3539247,103.9746973,220.0
8,CHOA CHU KANG,1.3853167,103.744325,8630.0
9,CLEMENTI,1.3151003,103.7652311,11880.0
10,DOWNTOWN CORE,1.2862423,103.8537756,7870.0
11,GEYLANG,1.3181862,103.8870563,17340.0
12,HOUGANG,1.3708011,103.89254433997465,20040.0
13,JURONG EAST,1.333108,103.7422939,3490.0
14,JURONG WEST,1.3434392,103.7058663,8820.0
15,KALLANG,1.310759,103.866262,13930.0
16,MANDAI,1.4235346,103.8033499,640.0
17,MARINE PARADE,1.3026889,103.9073952,12930.0
18,MUSEUM,1.2956562,103.8467218,960.0
19,NEWTON,1.31318325,103.83804024301281,7450.0
20,NOVENA,1.3205257000000001,103.84388133927948,16730.0
21,ORCHARD,1.30312075,103.8313759279562,1500.0
22,OUTRAM,1.2816642,103.840653,960.0
23,PASIR RIS,1.3730307,103.949255,18320.0
24,PUNGGOL,1.4051559,103.90236801879885,8060.0
25,QUEENSTOWN,1.2946226,103.8060366,11750.0
26,RIVER VALLEY,1.2976832,103.834188,10230.0
27,ROCHOR,1.3039183,103.85278854599449,3670.0
28,SELETAR,1.4098488,103.8773789,130.0
29,SEMBAWANG,1.4490928,103.8200555,5220.0
30,SENGKANG,1.3919236499999998,103.89549093760694,13980.0
31,SERANGOON,1.3497610500000001,103.87368414801405,20290.0
32,SINGAPORE RIVER,1.28917835,103.84515431766008,3690.0
33,SOUTHERN ISLANDS,1.2276088,103.8436701,2160.0
34,SUNGEI KADUT,1.4149971,103.7533106,220.0
35,TAMPINES,1.3546528,103.9435712,13890.0
36,TANGLIN,1.30420465,103.81847174837526,13990.0
37,TOA PAYOH,1.3353906,103.8497414,10570.0
38,WOODLANDS,1.436897,103.786216,6630.0
39,YISHUN,1.4293839,103.8350282,9780.0
