"property_name","property_url","property_area_or_psf","property_total_price"
"Pahang Street","https://www.srx.com.sg/listings/97796351/for-rent-pahang-street-rarely-available-3-adjoined-shop-houses-licensed","4,000 sqft / $5.95 psf(Built)","$23,800"
"Amoy Street","https://www.srx.com.sg/listings/97916151/for-rent-amoy-street-amoy-street","1,200 sqft / $10.00 psf(Built)","$12,000"
"Changi Road","https://www.srx.com.sg/listings/95946901/for-rent-changi-road-ground-shop-for-bicycle-motorcycle-trade-main-ro","1,500 sqft / $5.20 psf(Built)","$7,800"
"Kallang Way","https://www.srx.com.sg/listings/96761731/for-rent-kallang-way-ground-foodcourt-stall-for-rent-surrounded-by-com","150 sqft / $20.00 psf(Built)","$3,000"
"Boat Quay Conservation Area","https://www.srx.com.sg/listings/97683621/for-rent-boat-quay-conservation-area-boat-quay","5,500 sqft / $7.96 psf(Built)","$43,800"
"Boat Quay Conservation Area","https://www.srx.com.sg/listings/97683141/for-rent-boat-quay-conservation-area-boat-quay","3,200 sqft / $8.13 psf(Built)","$26,000"
"City Hall Square","https://www.srx.com.sg/listings/96062971/for-rent-city-hall-square-coleman-street","2,530 sqft / $13.00 psf(Built)","$32,890"
"Neil Road","https://www.srx.com.sg/listings/96883831/for-rent-neil-road-neil-road","1,269 sqft / $3.78 psf(Built)","$4,800"
"New Bridge Road","https://www.srx.com.sg/listings/96007891/for-rent-new-bridge-road-new-bridge-road","1,373 sqft / $8.74 psf(Built)","$12,000"
"Amoy Street","https://www.srx.com.sg/listings/97462961/for-rent-amoy-street-amoy-street","1,819 sqft / $6.50 psf(Built)","$11,824"
"Pekin Street","https://www.srx.com.sg/listings/97759551/for-rent-pekin-street-pekin-street","936 sqft / $7.40 psf(Built)","$6,927"
"One Raffles Place","https://www.srx.com.sg/listings/94762641/for-rent-one-raffles-place-extremely-rare-fitted-f-b-food-court-space-right-i","10,258 sqft / $8.00 psf(Built)","$82,064"
"One Raffles Place","https://www.srx.com.sg/listings/94762621/for-rent-one-raffles-place-extremely-rare-mall-ground-floor-f-b-unit-in-the-h","2,174 sqft / $23.00 psf(Built)","$50,002"
"Jalan Bukit Merah","https://www.srx.com.sg/listings/97850931/for-rent-jalan-bukit-merah-jalan-bukit-merah","250 sqft / $10.00 psf(Built)","$2,500"
"Amoy Street","https://www.srx.com.sg/listings/97810801/for-rent-amoy-street-amoy-street","936 sqft / $8.01 psf(Built)","$7,500"
"Ubi Avenue 1","https://www.srx.com.sg/listings/97574731/for-rent-ubi-avenue-1-ubi-avenue-1","300 sqft / $13.33 psf(Built)","$4,000"
"Bukit Purmei Road","https://www.srx.com.sg/listings/97574581/for-rent-bukit-purmei-road-bukit-purmei-road","300 sqft / $14.00 psf(Built)","$4,200"
"Pasir Panjang Road","https://www.srx.com.sg/listings/97174621/for-rent-pasir-panjang-road-pasir-panjang-road","3,500 sqft / $5.29 psf(Built)","$18,500"
"Ang Mo Kio Avenue 4","https://www.srx.com.sg/listings/97848971/for-rent-ang-mo-kio-avenue-4-ang-mo-kio-avenue-4","320 sqft / $16.81 psf(Built)","$5,380"
"Sims Avenue","https://www.srx.com.sg/listings/93151911/for-rent-sims-avenue-sims-avenue","1,350 sqft / $6.58 psf(Built)","$8,888"
"Pantech Business Hub","https://www.srx.com.sg/listings/97835941/for-rent-pantech-business-hub-pandan-loop","600 sqft / $2.83 psf(Built)","$1,700"
"Duxton Road","https://www.srx.com.sg/listings/96400661/for-rent-duxton-road-duxton-road","1,490 sqft / $11.07 psf(Built)","$16,500"
"New Upper Changi Road","https://www.srx.com.sg/listings/97745791/for-rent-new-upper-changi-road-new-upper-changi-road","705 sqft / $11.35 psf(Built)","$8,000"
"Sin Ming Road","https://www.srx.com.sg/listings/97704971/for-rent-sin-ming-road-sin-ming-road","300 sqft / $9.17 psf(Built)","$2,750"
"Holland Village","https://www.srx.com.sg/listings/97711681/for-rent-holland-village-lorong-mambong","1,350 sqft / $20.74 psf(Built)","$28,000"
"42 Chai Chee Street","https://www.srx.com.sg/listings/97907081/for-rent-42-chai-chee-street-42-chai-chee-street","721 sqft / $6.80 psf(Built)","$4,900"
"5 Banda Street","https://www.srx.com.sg/listings/97660331/for-rent-5-banda-street-near-to-mrt-shops-market-heavy-foot-traffic","200 sqft / $12.50 psf(Built)","$2,500"
"Clive Street","https://www.srx.com.sg/listings/83349662/for-rent-clive-street-shophouses-for-rent-in-little-india-vicinity","4,000 sqft / $4.13 psf(Built)","$16,500"
"Serangoon Road","https://www.srx.com.sg/listings/75585572/for-rent-serangoon-road-various-2-storey-shophouses-available-for-rental","2,000 sqft / $3.63 psf(Built)","$7,250"
