property_name,property_area_or_psf,property_total_price
Pahang Street,"4,000 sqft / $5.95 psf(Built)","$23,800"
Amoy Street,"1,200 sqft / $10.00 psf(Built)","$12,000"
Changi Road,"1,500 sqft / $5.20 psf(Built)","$7,800"
Kallang Way,150 sqft / $20.00 psf(Built),"$3,000"
Boat Quay Conservation Area,"5,500 sqft / $7.96 psf(Built)","$43,800"
Boat Quay Conservation Area,"3,200 sqft / $8.13 psf(Built)","$26,000"
City Hall Square,"2,530 sqft / $13.00 psf(Built)","$32,890"
Neil Road,"1,269 sqft / $3.78 psf(Built)","$4,800"
New Bridge Road,"1,373 sqft / $8.74 psf(Built)","$12,000"
Amoy Street,"1,819 sqft / $6.50 psf(Built)","$11,824"
Pekin Street,936 sqft / $7.40 psf(Built),"$6,927"
One Raffles Place,"10,258 sqft / $8.00 psf(Built)","$82,064"
One Raffles Place,"2,174 sqft / $23.00 psf(Built)","$50,002"
Jalan Bukit Merah,250 sqft / $10.00 psf(Built),"$2,500"
Amoy Street,936 sqft / $8.01 psf(Built),"$7,500"
Ubi Avenue 1,300 sqft / $13.33 psf(Built),"$4,000"
Bukit Purmei Road,300 sqft / $14.00 psf(Built),"$4,200"
Pasir Panjang Road,"3,500 sqft / $5.29 psf(Built)","$18,500"
Ang Mo Kio Avenue 4,320 sqft / $16.81 psf(Built),"$5,380"
Sims Avenue,"1,350 sqft / $6.58 psf(Built)","$8,888"
Pantech Business Hub,600 sqft / $2.83 psf(Built),"$1,700"
Duxton Road,"1,490 sqft / $11.07 psf(Built)","$16,500"
New Upper Changi Road,705 sqft / $11.35 psf(Built),"$8,000"
Sin Ming Road,300 sqft / $9.17 psf(Built),"$2,750"
Holland Village,"1,350 sqft / $20.74 psf(Built)","$28,000"
42 Chai Chee Street,721 sqft / $6.80 psf(Built),"$4,900"
5 Banda Street,200 sqft / $12.50 psf(Built),"$2,500"
Clive Street,"4,000 sqft / $4.13 psf(Built)","$16,500"
Serangoon Road,"2,000 sqft / $3.63 psf(Built)","$7,250"
Syed Alwi Road,"2,000 sqft / $9.00 psf(Built)","$18,000"
Little India Conservation Area,"2,000 sqft / $5.75 psf(Built)","$11,500"
Kampong Glam Conservation Area,"1,000 sqft / $8.00 psf(Built)","$8,000"
Little India Conservation Area,"2,000 sqft / $6.00 psf(Built)","$12,000"
Syed Alwi Road,900 sqft / $17.78 psf(Built),"$16,000"
5 Everton Park,350 sqft / $10.00 psf(Built),"$3,500"
Birch Road,"2,820 sqft / $5.60 psf(Built)","$15,800"
Race Course Road,"5,000 sqft / $10.00 psf(Built)","$50,000"
