,property_name,area (sqft),psf price ($/psf),total price ($)
0,Kallang Place,1952,1.9,3709
1,East Coast Road,1500,2.67,4000
2,East Coast Road,1500,2.67,4000
3,Eng Kong Park,1500,2.8,4200
4,Jurong West Street 41,1700,2.94,5000
5,Norris Road,1950,3.08,5999
6,Geylang Road,1600,3.25,5200
7,Geylang Road,2000,3.4,6800
8,Sin Cheong Building,1525,3.5,5338
9,Veerasamy Road,2000,3.5,7000
10,Norris Road,1800,3.61,6500
11,Serangoon Road,2000,3.63,7250
12,Lorong 36 Geylang,1500,3.67,5500
13,Blair Plain Conservation Area,2000,3.75,7500
14,Geylang Conservation Area,1587,3.9,6188
15,Hamilton Road,1700,4.0,6800
16,Club Street,1900,4.21,8000
17,Kampong Bahru Road,2000,4.25,8500
18,Telok Kurau Road,1750,4.29,7500
19,Boat Quay,1743,4.3,7500
20,Jurong East Street 24,1603,4.37,7000
21,Aliwal Street,1640,4.45,7300
22,Ang Mo Kio Avenue 10,1900,4.47,8500
23,Ang Mo Kio Avenue 10,1900,4.47,8500
24,Balestier Road,1625,4.73,7688
25,Clementi Avenue 2 Shopping Centre,1620,4.81,7800
26,Lavender Street,1735,4.9,8500
27,Lavender Street,1730,4.91,8500
28,Lavender Street,1730,4.91,8500
29,Lavender Street,1730,4.91,8500
30,★★ 2 storey Massage Shop Takeover @ Kovan ★★,1600,5.0,8000
31,Tanjong Pagar Road,1525,5.02,7650
32,Yio Chu Kang Road,1865,5.09,9500
33,Serangoon Road,2000,5.15,10300
34,Tras Street,1900,5.16,9800
35,Tras Street,1900,5.16,9800
36,⭐ Cheap 2 storey shophouse @ Farrer Park - dont miss it ⭐,1600,5.19,8300
37,Changi Road,1500,5.2,7800
38,Sago Street,1866,5.25,9800
39,Tanjong Pagar Road,1888,5.3,10000
40,90 owen road,1603,5.3,8500
41,East Coast Road,1500,5.33,8000
42,Tras Street,1600,5.38,8600
43,Tanjong Pagar Conservation Area,1600,5.38,8600
44,Jurong East Avenue 1,1800,5.39,9700
45,Bishan Green,1571,5.41,8500
46,Tras Street,1800,5.44,9800
47,Jalan Besar,1800,5.56,10000
48,Tai Thong Crescent,1620,5.56,9000
49,Tanjong Pagar Road,1500,5.73,8600
50,Tras Street,1500,5.73,8600
51,Little India Conservation Area,2000,5.75,11500
52,Boat Quay Conservation Area,1535,5.86,9000
53,Boat Quay Conservation Area,1535,5.86,9000
54,Geylang Road,1527,5.89,9000
55,Little India Conservation Area,2000,6.0,12000
56,South Bridge Road,1500,6.0,9000
57,Mustafa Centre,1800,6.05,10888
58,Tanjong Katong Road,1600,6.13,9800
59,Tanjong Katong Road,1600,6.13,9800
60,Boat Quay Conservation Area,1600,6.25,10000
61,Sims Avenue,1500,6.33,9500
62,Amoy Street,1819,6.49,11800
63,Telok Ayer Conservation Area,1819,6.5,11815
64,Pekin Street,1851,6.5,12031
65,Tras Street,2000,6.5,13000
66,Amoy Street,1819,6.5,11823
67,Amoy Street,1819,6.5,11823
68,Amoy Street,1819,6.5,11824
69,Telok Ayer Conservation Area,1819,6.5,11815
70,Tras Street,1600,6.56,10500
71,Neil Road,1600,6.88,11000
72,Bukit Pasoh Road,1600,6.88,11000
73,Bukit Pasoh Conservation Area,1600,6.88,11000
74,Hongkong Street,1970,6.9,13600
75,The Rochester Mall - F&B/Retails For Lease,1632,6.99,11400
76,Clementi Avenue 3,1850,7.03,13000
77,Purvis Street,1700,7.06,12000
78,Lavender Street,1534,7.5,11500
79,Lavender Street,1534,7.5,11505
80,Tanjong Pagar Conservation Area,1900,7.63,14500
81,Jalan Besar,1550,7.74,12000
82,Lavender Street,1534,7.75,11888
83,East Coast Road,1792,7.81,14000
84,Craig Road,1750,7.89,13800
85,Jalan kayu,1900,7.89,15000
86,Bukit Merah View,2000,7.9,15800
87,Changi Road,1500,8.0,12000
88,Sims Avenue,1987,8.05,16000
89,Tras Street,1600,8.13,13000
90,Tanjong Pagar Road,1600,8.13,13000
91,Tanjong Pagar Conservation Area,1600,8.13,13000
92,Queen Street,1916,8.35,16000
93,North Bridge Road,1500,8.67,13000
94,Mosque Street,1719,8.73,15000
95,North Bridge Road,1700,8.82,15000
96,UE Bizhub East @CBP - F&B / Retails for lease,1805,8.86,15999
97,Race Course Road,1550,8.9,13800
98,Jurong East Street 31,1895,8.97,17000
99,Syed Alwi Road,2000,9.0,18000
100,Ang Mo Kio Avenue 6,1800,9.33,16800
101,Telok Ayer Conservation Area,1685,9.5,16000
102,Serangoon Road,1765,9.63,17000
103,Malacca Street,1850,9.73,18000
104,Purvis Street,1850,9.73,18000
105,Pagoda Street,1820,9.89,18000
106,Tras Street,1800,10.0,18000
107,North Bridge Road,2000,10.0,20000
108,Ang Mo Kio Central 2,2000,10.0,20000
109,Tiong Bahru Orchid,1765,10.2,18000
110,Tanjong Pagar Conservation Area,1950,10.26,20000
111,Duxton Road,1950,10.26,20000
112,Duxton Road,1950,10.26,20000
113,Race Course Road,1510,10.46,15800
114,MARINE PARADE CENTRAL,1779,10.5,18680
115,Craig Road,1500,10.67,16000
116,Orchard Road,1829,11.0,20119
117,Telok Ayer Street,2000,11.0,22000
118,Amoy Street,1692,11.1,18785
119,Mosque Street,1717,11.65,20000
120,Mosque Street,1717,11.65,20000
121,Mosque Street,1717,11.65,20000
122,Mosque Street,1717,11.65,20000
123,Mosque Street,1717,11.65,20000
124,Mosque Street,1717,11.65,20000
125,Mosque Street,1700,11.76,20000
126,Jurong Gateway,1668,11.99,20000
127,Jurong West Street 51,1500,12.0,18000
128,Raffles Quay,2000,12.0,24000
129,Jurong West Street 51,1500,12.0,18000
130,Telok Ayer Street,1603,12.01,19248
131,Craig Road,1530,12.09,18499
132,Jurong Gateway,1650,12.12,20000
133,South Bridge Road,2000,12.95,25898
134,Holland Village,1800,13.89,25000
135,Holland Village,1800,13.89,25000
136,New Bridge Road,2000,14.0,28000
137,Bukit Pasoh Conservation Area,1729,14.46,25000
138,Bukit Pasoh Conservation Area,1700,14.71,25000
139,Telok Ayer Conservation Area,1645,15.81,26000
140,Telok Ayer Conservation Area,1645,15.81,26000
141,Bukit Pasoh Conservation Area,1830,16.39,30000
142,Ang Mo Kio Avenue 8,1634,2876.38,4700000
